Altium Designer Pick and Place Locations
C:\Users\wesr.CLT-DSK-T-6036\Documents\EPFL_AtomicForceMicroscope\altium\afm_adc_v1.0\Project Outputs for AFM_ADC\Pick Place\Pick Place for AFM_ADC_Board(Variant of AFM_ADC 12V Supply).csv

========================================================================================================================
File Design Information:

Date:       08.11.23
Time:       15:59
Revision:   46d9a9d017139d695c41f1eb338635c59ad17d1e
Variant:    Variant of AFM_ADC 12V Supply
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"R38","1k","TopLayer","R0603","4495,079","2320,867","90"
"R37","1k","TopLayer","R0603","4494,095","2435,040","90"
"R36","0R","TopLayer","R0603","1589,568","961,615","90"
"R35","10k","TopLayer","R0603","1364,174","425,197","180"
"R34","0R","TopLayer","R0603","1868,111","1102,363","180"
"R33","0R","TopLayer","R0603","1591,536","539,370","270"
"R32","10k","TopLayer","R0603","1541,339","142,206","90"
"R31","0R","TopLayer","R0603","1868,111","1051,182","180"
"R30","50","TopLayer","R0603","1868,111","1159,449","180"
"R29","2k2","TopLayer","R0603","1562,993","305,592","180"
"R28","4k7","TopLayer","R0603","1590,552","665,355","90"
"R27","4k7","TopLayer","R0603","1588,583","847,441","270"
"R26","4k7","TopLayer","R0603","1976,379","1116,142","90"
"R25","1k","TopLayer","R0603","2051,182","1116,142","90"
"R24","2k2","TopLayer","R0603","1562,993","254,411","180"
"R7","4k7","TopLayer","R0603","3377,953","1088,583","90"
"R6","50","TopLayer","R0603","3498,032","1156,890","90"
"R5","4k3","TopLayer","R0603","3362,205","962,599","90"
"R4","50","TopLayer","R0603","3681,103","1159,449","270"
"R3","4k3","TopLayer","R0603","3799,213","982,284","90"
"R2","10k","TopLayer","R0603","3527,601","2228,388","225"
"R1","4k7","TopLayer","R0603","3797,245","1091,930","90"
"Q1","MMBT2222ALT1G","TopLayer","SOT23-3","1637,796","149,489","90"
"L9","4u7","TopLayer","SPD62R-472M","1094,882","2853,348","0"
"L8","4u7","TopLayer","SPD62R-472M","537,992","2853,348","0"
"L7","4u7","TopLayer","SPD62R-472M","2670,670","2849,411","0"
"L6","4u7","TopLayer","SPD62R-472M","2114,567","2849,411","0"
"L5","80 @ 100MHz","TopLayer","L1206","2088,583","2671,260","0"
"L4","80 @ 100MHz","TopLayer","L1206","1891,733","2671,260","180"
"L3","80 @ 100MHz","TopLayer","L1206","3084,646","2771,654","180"
"L2","2u2","TopLayer","L0603","3559,056","1277,560","270"
"L1","2u2","TopLayer","L0603","3610,237","1277,560","270"
"J3","CON_COAX","TopLayer","0731000207","4358,268","1481,359","90"
"J2","CON_COAX","TopLayer","0731000207","4358,268","1846,457","90"
"F1","F1251CT-ND","TopLayer","2-SMD","3968,505","2956,209","270"
"D11","MSS2P2-M3/89A","TopLayer","DO-219AD","885,236","2893,505","90"
"D10","MSS2P2-M3/89A","TopLayer","DO-219AD","744,488","2895,670","90"
"D9","1N4448W","TopLayer","SOD123","1011,221","3028,545","180"
"D8","1N4448W","TopLayer","SOD123","618,504","3028,545","0"
"D7","MSS2P2-M3/89A","TopLayer","DO-219AD","2463,977","2892,718","90"
"D6","MSS2P2-M3/89A","TopLayer","DO-219AD","2323,229","2894,686","90"
"D5","1N4448W","TopLayer","SOD123","2587,008","3024,608","180"
"D4","1N4448W","TopLayer","SOD123","2194,292","3024,608","0"
"D3","V12P10HM3_A/H","TopLayer","TO-277A","4287,402","2772,638","0"
"D2","LED_RED_0603","TopLayer","LED_0603(1608_metric)","1677,166","303,150","0"
"D1","LED_GREEN_0603","TopLayer","LED_0603(1608_metric)","1675,197","254,411","0"
"C83","100n","TopLayer","C0805","1366,930","366,142","0"
"C82","1n","TopLayer","C0402","937,402","3122,048","90"
"C81","10p","TopLayer","C0402","894,095","3244,588","90"
"C80","10p","TopLayer","C0402","735,630","3244,588","90"
"C79","1n","TopLayer","C0402","694,291","3122,048","90"
"C78","330p","TopLayer","C0402","861,614","3244,588","90"
"C77","330p","TopLayer","C0402","768,110","3244,588","90"
"C76","22u","TopLayer","C0805","1178,152","3055,316","90"
"C75","22u","TopLayer","C0805","1250,002","3055,316","90"
"C74","22u","TopLayer","C0805","383,268","3057,088","90"
"C73","22u","TopLayer","C0805","459,685","3057,088","90"
"C72","10p","TopLayer","C0402","660,827","3288,387","0"
"C71","220n","TopLayer","C0402","889,173","2996,064","0"
"C70","220n","TopLayer","C0402","738,583","2993,111","180"
"C69","10u","TopLayer","C0805","821,260","2885,631","270"
"C61","100n","BottomLayer","C0402","2056,221","1606,012","90"
"C60","100n","BottomLayer","C0402","1945,985","1649,319","0"
"C59","100n","BottomLayer","C0402","1989,292","1759,556","270"
"C58","100n","BottomLayer","C0402","2099,528","1716,249","180"
"C57","1n","TopLayer","C0402","2514,174","3121,064","90"
"C56","10p","TopLayer","C0402","2473,819","3243,407","90"
"C55","10p","TopLayer","C0402","2314,371","3243,407","90"
"C54","1n","TopLayer","C0402","2271,063","3121,064","90"
"C53","330p","TopLayer","C0402","2441,339","3243,407","90"
"C52","330p","TopLayer","C0402","2346,851","3243,407","90"
"C50","100n","BottomLayer","C0402","2020,788","1606,013","90"
"C49","100n","BottomLayer","C0402","1945,985","1684,753","0"
"C48","100n","BottomLayer","C0402","2024,725","1759,556","270"
"C47","100n","BottomLayer","C0402","2099,528","1680,815","180"
"C46","1u","BottomLayer","C0805","1991,261","1327,272","270"
"C45","100n","BottomLayer","C0402","2131,024","1556,800","180"
"C44","100n","BottomLayer","C0402","1896,772","1574,516","90"
"C43","100n","BottomLayer","C0402","1914,489","1840,264","0"
"C42","100n","BottomLayer","C0402","2148,741","1826,485","270"
"C41","22u","BottomLayer","C_POL_1411(3528)","2022,756","1950,501","0"
"C40","22u","TopLayer","C0805","2813,386","3053,151","90"
"C39","22u","TopLayer","C0805","2738,583","3053,151","90"
"C38","22u","TopLayer","C0805","2035,473","3053,151","90"
"C37","22u","TopLayer","C0805","1959,055","3053,151","90"
"C36","220n","TopLayer","C0402","2464,961","2995,080","0"
"C35","220n","TopLayer","C0402","2317,323","2992,127","180"
"C34","10u","TopLayer","C0805","2397,048","2881,694","270"
"C32","100n","TopLayer","C0402","1718,505","2362,205","0"
"C31","100n","TopLayer","C0402","1788,342","198,819","270"
"C30","1u","TopLayer","C0805","2312,756","2561,025","0"
"C29","33u","TopLayer","C_POL_1411(3528)","2326,870","2662,403","0"
"C28","100n","TopLayer","C0402","3342,096","1484,367","315"
"C27","100n","TopLayer","C0402","3507,158","1662,134","315"
"C26","100n","TopLayer","C0402","3366,107","1507,747","315"
"C25","100n","TopLayer","C0402","2967,276","2107,359","135"
"C24","100n","TopLayer","C0402","3579,457","1772,370","45"
"C23","100n","TopLayer","C0402","3389,487","1531,758","315"
"C22","1u","TopLayer","C0805","1709,449","2576,772","180"
"C21","33u","TopLayer","C_POL_1411(3528)","1689,371","2694,883","180"
"C20","100n","TopLayer","C0402","2907,394","1674,609","225"
"C19","100n","TopLayer","C0402","3613,664","1976,213","45"
"C18","100n","TopLayer","C0402","3436,878","1579,149","315"
"C17","100n","TopLayer","C0402","3581,301","2008,576","45"
"C16","100n","TopLayer","C0402","3553,269","2037,395","45"
"C15","1u","TopLayer","C0805","2874,804","2661,418","180"
"C14","100n","TopLayer","C0402","3536,474","2080,904","45"
"C13","100n","TopLayer","C0402","3473,158","2110,953","45"
"C12","33u","TopLayer","C_POL_1411(3528)","3094,095","2661,418","0"
"C11","100n","TopLayer","C0402","3413,182","1555,454","315"
"C10","100n","TopLayer","C0402","3348,539","2233,255","45"
"C9","100n","TopLayer","C0402","3375,279","2206,516","45"
"C8","100n","TopLayer","C0402","3419,734","2173,871","45"
"C7","1p","TopLayer","C0603","3437,008","1092,520","270"
"C6","100n","TopLayer","C0402","3356,300","844,489","270"
"C5","1u","TopLayer","C0805","3409,449","839,764","270"
"C4","330p","TopLayer","C0603","3559,056","1155,512","270"
"C3","2p6","TopLayer","C0603","3590,199","1665,002","225"
"C2","330p","TopLayer","C0603","3614,174","1155,512","90"
"C1","1p","TopLayer","C0603","3738,189","1090,945","270"
